0.005,163.3
0.01,79.6
0.015,88.1
0.02,69.6
0.025,70.7
0.03,77.4
0.035,79.6
0.04,75.8
0.045,75.6
0.05,77.5
0.055,73.0
0.06,76.6
0.065,73.5
0.07,77.0
0.075,74.2
0.08,69.9
0.085,70.4
0.09,72.6
0.095,71.9
0.1,71.1
0.105,69.6
0.11,69.4
0.115,70.3
0.12,74.6
0.125,72.4
0.13,71.7
0.135,74.3
0.14,73.1
0.145,73.9
0.15,69.9
0.155,71.3
0.16,69.2
0.165,69.4
0.17,68.2
0.175,67.9
0.18,68.1
0.185,68.7
0.19,68.9
0.195,68.2
0.2,68.2
0.205,67.1
0.21,69.3
0.215,69.2
0.22,70.1
0.225,69.5
0.23,71.8
0.235,72.3
0.24,77.5
0.245,67.3
0.25,70.6
0.255,70.8
0.26,76.8
0.265,76.2
0.27,78.4
0.275,76.6
0.28,73.3
0.285,75.8
0.29,78.8
0.295,71.4
0.3,71.3
0.305,79.2
0.31,72.1
0.315,73.0
0.32,69.0
0.325,69.9
0.33,69.3
0.335,68.4
0.34,67.9
0.345,68.8
0.35,74.4
0.355,72.1
0.36,71.5
0.365,77.1
0.37,71.0
0.375,68.8
0.38,69.5
0.385,69.8
0.39,68.9
0.395,68.8
0.4,73.3
0.405,77.8
0.41,70.0
0.415,68.8
0.42,67.8
0.425,68.3
0.43,68.3
0.435,68.2
0.44,72.7
0.445,72.6
0.45,75.8
0.455,70.1
0.46,67.7
0.465,67.1
0.47,74.3
0.475,79.7
0.48,78.0
0.485,77.5
0.49,76.9
0.495,71.0
0.5,68.3
0.505,68.4
0.51,72.1
0.515,72.9
0.52,71.3
0.525,70.2
0.53,69.0
0.535,67.4
0.54,73.1
0.545,74.7
0.55,71.7
0.555,70.3
0.56,69.9
0.565,67.7
0.57,67.5
0.575,68.3
0.58,67.5
0.585,68.1
0.59,68.6
0.595,69.8
0.6,67.8
0.605,68.0
0.61,68.3
0.615,68.2
0.62,69.4
0.625,69.7
0.63,67.3
0.635,68.8
0.64,70.1
0.645,65.8
0.65,67.5
0.655,67.2
0.66,67.3
0.665,69.7
0.67,67.9
0.675,68.3
0.68,67.6
0.685,67.0
0.69,68.5
0.695,68.4
0.7,67.4
0.705,68.9
0.71,68.4
0.715,68.3
0.72,67.5
0.725,68.6
0.73,68.4
0.735,68.5
0.74,69.2
0.745,67.8
0.75,68.1
0.755,68.5
0.76,68.1
0.765,69.7
0.77,68.5
0.775,69.2
0.78,68.0
0.785,67.1
0.79,68.8
0.795,68.2
0.8,66.3
0.805,67.5
0.81,66.7
0.815,67.4
0.82,68.1
0.825,67.4
0.83,67.8
0.835,68.5
0.84,67.8
0.845,66.7
0.85,66.0
0.855,66.7
0.86,70.6
0.865,75.3
0.87,71.0
0.875,71.1
0.88,69.2
0.885,69.9
0.89,67.6
0.895,67.1
0.9,67.8
0.905,68.9
0.91,68.4
0.915,68.4
0.92,71.9
0.925,76.6
0.93,71.1
0.935,75.1
0.94,79.1
0.945,67.9
0.95,76.8
0.955,77.5
0.96,69.3
0.965,69.4
0.97,71.5
0.975,67.9
0.98,68.8
0.985,68.6
0.99,67.7
0.995,68.3
1.0,69.3
1.005,68.8
1.01,67.7
1.015,68.3
1.02,67.6
1.025,69.4
1.03,68.4
1.035,67.8
1.04,75.6
1.045,75.8
1.05,70.8
1.055,67.7
1.06,68.3
1.065,68.4
